Strategy,Avg Test Edge,Median Test Edge,Positive Windows,Total Windows,Worst Test Edge,Avg Annual Return,Worst Max Drawdown,Avg Exposure,Max Exposure
"Core: Above200+Below20+5D<-1.5%, 2.00x, 10d, StopBelow200",0.026948990488395955,0.02553168450699217,8,8,0.00023772996482507303,0.16129648182449613,-0.553909190999285,1.2421129885325017,2.0
"Core: Above200+Below20+5D<-1.5%, 1.75x, 10d, StopBelow200",0.020524570936886324,0.019564563997573337,8,8,0.0010087664214473158,0.15136861581155636,-0.5409800142332232,1.1815847413993763,1.75
"Core: Above200+Below20+5D<-2.5%, 2.00x, 7d, StopBelow200",0.01392996937287555,0.01019148972267403,8,8,0.0006215246082439396,0.13966640510592665,-0.5265635712223944,1.09964593066577,2.0
"Core: Above200+Below20+5D<-1.5%, 1.50x, 10d, StopBelow200",0.013885435341762217,0.01331422476378763,8,8,0.0012201985874340515,0.1411316463555341,-0.5278133543593433,1.1210564942662509,1.5
"Core: Above200+Below20+5D<-2.5%, 1.75x, 7d, StopBelow200",0.010711752947335618,0.008014991203378785,8,8,0.0011859045461992679,0.13498713257598505,-0.5201000289275418,1.0747344479993275,1.75
"Core: Above200+Below20+5D<-2.5%, 1.50x, 7d, StopBelow200",0.007315569459701604,0.005588427915500849,8,8,0.0012664089631020392,0.1301098459868381,-0.5136446834444899,1.049822965332885,1.5
"Core: Above200+Below20+5D<-1.5%, 1.25x, 10d, StopBelow200",0.007040775375536434,0.006789614538429745,8,8,0.000880645818747805,0.1305960088075011,-0.5144636225816199,1.0605282471331254,1.25
"Core: Above200+Below20+5D<-2.5%, 1.25x, 7d, StopBelow200",0.003744063544317555,0.00291548880111403,8,8,0.0008689454182708722,0.12503730251887574,-0.5100505185258486,1.0249114826664427,1.25
"Core: Above200+Below20+5D<-2.0%, 2.00x, 7d, Fixed",0.040194003861337466,0.04594625125891616,7,8,-0.03918254832922652,0.16964540658014304,-0.515074924959182,1.1579696916407598,2.0
"Core: Above200+Below20+5D<-2.0%, 1.75x, 7d, Fixed",0.030257528523011057,0.03459990036691696,7,8,-0.02864349567182356,0.1573527185287211,-0.5113560059134059,1.1184772687305697,1.75
"Def: Above200+Below20+5D<-2.0%, 2.00x, 7d, Fixed",0.029191233888283943,0.03883565046718446,7,8,-0.09385247623172366,0.15835516418894874,-0.3630514238862669,1.0643349595136147,2.0
"Core: Above200+Below20+5D<-2.0%, 2.00x, 7d, Recover20",0.027527909780326112,0.03392142508896845,7,8,-0.06176822793093373,0.1537210782270514,-0.5118505489890697,1.1118534858361904,2.0
"Core: Above200+Below20+5D<-1.5%, 2.00x, 7d, Fixed",0.026004629988626016,0.021555319177007592,7,8,-0.040552367525603206,0.15751439097138678,-0.5480830004256699,1.2014118029548586,2.0
"Core: Above200+Below20+5D<-2.5%, 2.00x, 7d, Fixed",0.02347943654257005,0.028285915134520778,7,8,-0.025529644246923056,0.14978280930094884,-0.5138898171394709,1.108962826449969,2.0
"Core: Above200+Below20+5D<-1.5%, 2.00x, 5d, Fixed",0.02192497242146564,0.02132085771341269,7,8,-0.044299702218498105,0.15038092788704338,-0.5465164359114231,1.1540198339697874,2.0
"Core: Above200+Below20+5D<-2.0%, 1.75x, 7d, Recover20",0.020836039479775026,0.025960302587830997,7,8,-0.04581425754909718,0.14545715125169323,-0.509250695469353,1.0838901143771427,1.75
"Core: Above200+Below20+5D<-2.0%, 1.50x, 7d, Fixed",0.02024211385284211,0.02315348905314507,7,8,-0.01859557579409854,0.14493847771370877,-0.5077301604442127,1.07898484582038,1.5
"Core: Above200+Below20+5D<-1.5%, 1.75x, 7d, Fixed",0.01974406698348319,0.016503800842798122,7,8,-0.029875129051584626,0.14841548593270562,-0.5364390017953176,1.151058852216144,1.75
"Core: Above200+Below20+5D<-1.5%, 2.00x, 5d, StopBelow200",0.019622693652364798,0.01601095552940779,7,8,-0.03087408301214034,0.14817986334008787,-0.5487607171050812,1.149053374662857,2.0
"Core: Above200+Below20+5D<-2.5%, 1.75x, 7d, Fixed",0.017881746373411472,0.02135553671388235,7,8,-0.01839700541276401,0.14258801985370256,-0.5103745659112335,1.0817221198374765,1.75
"Core: Above200+Below20+5D<-2.5%, 2.00x, 10d, StopBelow200",0.01737315878551539,0.01359805812874626,7,8,-0.00899565579819317,0.14471823069971834,-0.5329744247511325,1.1300761052095545,2.0
"Core: Above200+Below20+5D<-1.5%, 1.75x, 5d, Fixed",0.01674314321676275,0.016176508991189664,7,8,-0.032117868409407224,0.14309004290499178,-0.5352469078565538,1.1155148754773405,1.75
"Core: Above200+Below20+5D<-3.0%, 2.00x, 10d, StopBelow200",0.015410323265460366,0.014755559712276933,7,8,-0.019753568747962857,0.1398724798619137,-0.5166217564155595,1.0846630664338153,2.0
